rep,A,rd,LL,dp,pval,psig
16,10,40,12.929185419429174,-0.6599999999999999,3.6740790243516841e-07,1
17,10,40,19.05723603165955,-0.72,6.6713479185409597e-10,1
18,10,40,23.21411976622133,-0.6699999999999999,9.5036201130938025e-12,1
19,10,40,10.107152522129986,-0.6200000000000001,6.9233274400115619e-06,0
20,10,40,13.931177121517596,-0.64,1.3025966938418065e-07,1
21,10,40,21.14541162094619,-0.72,7.8660744584624354e-11,1
22,10,40,18.97405037749406,-0.665,7.265176238391291e-10,1
23,10,40,18.331899019330272,-0.6649999999999999,1.4036198869860073e-09,1
24,10,40,14.8150889024935,-0.76,5.2284567009230898e-08,1
25,10,40,16.389350762973407,-0.7,1.0327016686240142e-08,1
26,10,40,11.766740509247015,-0.685,1.2275885095114347e-06,1
27,10,40,11.57331998187399,-0.6849999999999999,1.5010526428493876e-06,1
28,10,40,20.759147256862395,-0.695,1.1677303568546904e-10,1
29,10,40,15.443829615854941,-0.695,2.7340481212334566e-08,1
30,10,40,12.90237434614583,-0.655,3.7775792005589892e-07,1
31,10,40,24.02093500553154,-0.6399999999999999,4.1721071042388758e-12,1
32,10,40,13.515396255880319,-0.665,2.0024005875640682e-07,1
33,10,40,13.862882453404477,-0.6699999999999999,1.39788471575919e-07,1
34,10,40,21.436894238753933,-0.725,5.8387739088061608e-11,1
35,10,40,23.55261393271946,-0.645,6.7276184623210611e-12,1
36,10,40,22.673740595380977,-0.695,1.6500023569676614e-11,1
37,10,40,25.236137269727426,-0.6399999999999999,1.2085887846069454e-12,1
38,10,40,29.68164396584477,-0.6799999999999999,1.3100631690576847e-14,1
39,10,40,14.377731837692993,-0.6749999999999999,8.2117925237490397e-08,1
40,10,40,9.637600755872693,-0.6649999999999999,1.1316667623884058e-05,0
41,10,40,23.77226776627302,-0.6799999999999999,5.3768101082596331e-12,1
42,10,40,30.10346232097396,-0.675,8.5487172896137054e-15,1
43,10,40,14.471120133952198,-0.6699999999999999,7.4568933472463073e-08,1
44,10,40,10.288665439169726,-0.6799999999999999,5.7270271717202448e-06,0
45,10,40,17.108923130018656,-0.67,4.9274995195247584e-09,1
46,10,40,13.462484142224788,-0.665,2.1150875284536852e-07,1
47,10,40,16.840467987367603,-0.6399999999999999,6.4933945997935894e-09,1
48,10,40,23.60153038831529,-0.755,6.3999916477541774e-12,1
49,10,40,23.165298867556295,-0.725,9.989231664064846e-12,1
50,10,40,26.56939491451741,-0.735,3.1075142459258132e-13,1
